ITERATION,MEASUREMENT,VALUE,SEED,CONTROL_GOAL_SPACE,USE_RESAMPLING
97,PSEUDOREWARD,0.35212239623069763,5,False,False
98,PSEUDOREWARD,0.3589937090873718,5,False,False
99,PSEUDOREWARD,0.36615055799484253,5,False,False
100,PSEUDOREWARD,0.3679221272468567,5,False,False
101,PSEUDOREWARD,0.37524816393852234,5,False,False
102,PSEUDOREWARD,0.37207314372062683,5,False,False
103,PSEUDOREWARD,0.37672820687294006,5,False,False
104,PSEUDOREWARD,0.38161420822143555,5,False,False
105,PSEUDOREWARD,0.38542038202285767,5,False,False
106,PSEUDOREWARD,0.3896208703517914,5,False,False
107,PSEUDOREWARD,0.4018598794937134,5,False,False
108,PSEUDOREWARD,0.39083030819892883,5,False,False
109,PSEUDOREWARD,0.39466598629951477,5,False,False
110,PSEUDOREWARD,0.40390557050704956,5,False,False
111,PSEUDOREWARD,0.4053404629230499,5,False,False
112,PSEUDOREWARD,0.40752267837524414,5,False,False
113,PSEUDOREWARD,0.4102383852005005,5,False,False
114,PSEUDOREWARD,0.41528916358947754,5,False,False
115,PSEUDOREWARD,0.42246243357658386,5,False,False
116,PSEUDOREWARD,0.43786197900772095,5,False,False
117,PSEUDOREWARD,0.4407021999359131,5,False,False
118,PSEUDOREWARD,0.43992379307746887,5,False,False
119,PSEUDOREWARD,0.44278234243392944,5,False,False
120,PSEUDOREWARD,0.45373785495758057,5,False,False
121,PSEUDOREWARD,0.45387858152389526,5,False,False
122,PSEUDOREWARD,0.4651001989841461,5,False,False
123,PSEUDOREWARD,0.45965057611465454,5,False,False
124,PSEUDOREWARD,0.45935529470443726,5,False,False
125,PSEUDOREWARD,0.4613126516342163,5,False,False
126,PSEUDOREWARD,0.4669273793697357,5,False,False
127,PSEUDOREWARD,0.47255295515060425,5,False,False
128,PSEUDOREWARD,0.47111955285072327,5,False,False
129,PSEUDOREWARD,0.46885836124420166,5,False,False
130,PSEUDOREWARD,0.4756919741630554,5,False,False
131,PSEUDOREWARD,0.48780590295791626,5,False,False
132,PSEUDOREWARD,0.48008137941360474,5,False,False
133,PSEUDOREWARD,0.4953021705150604,5,False,False
134,PSEUDOREWARD,0.4945099949836731,5,False,False
135,PSEUDOREWARD,0.49381858110427856,5,False,False
136,PSEUDOREWARD,0.49722933769226074,5,False,False
137,PSEUDOREWARD,0.5041602253913879,5,False,False
138,PSEUDOREWARD,0.5069621801376343,5,False,False
139,PSEUDOREWARD,0.5176050066947937,5,False,False
140,PSEUDOREWARD,0.5356903076171875,5,False,False
141,PSEUDOREWARD,0.5445117950439453,5,False,False
142,PSEUDOREWARD,0.5272287726402283,5,False,False
143,PSEUDOREWARD,0.5290780067443848,5,False,False
144,PSEUDOREWARD,0.5149669647216797,5,False,False
145,PSEUDOREWARD,0.5220892429351807,5,False,False
146,PSEUDOREWARD,0.523564338684082,5,False,False
147,PSEUDOREWARD,0.5347533822059631,5,False,False
148,PSEUDOREWARD,0.5318072438240051,5,False,False
149,PSEUDOREWARD,0.5255373120307922,5,False,False
150,PSEUDOREWARD,0.531617283821106,5,False,False
151,PSEUDOREWARD,0.5367082953453064,5,False,False
152,PSEUDOREWARD,0.5477019548416138,5,False,False
153,PSEUDOREWARD,0.5505439043045044,5,False,False
154,PSEUDOREWARD,0.565409243106842,5,False,False
155,PSEUDOREWARD,0.5451937913894653,5,False,False
156,PSEUDOREWARD,0.5368832349777222,5,False,False
157,PSEUDOREWARD,0.5446375608444214,5,False,False
158,PSEUDOREWARD,0.5317007303237915,5,False,False
159,PSEUDOREWARD,0.5565589666366577,5,False,False
160,PSEUDOREWARD,0.5476192235946655,5,False,False
161,PSEUDOREWARD,0.53839510679245,5,False,False
162,PSEUDOREWARD,0.5601308941841125,5,False,False
163,PSEUDOREWARD,0.5513314008712769,5,False,False
164,PSEUDOREWARD,0.5401333570480347,5,False,False
165,PSEUDOREWARD,0.5482336282730103,5,False,False
166,PSEUDOREWARD,0.544118344783783,5,False,False
167,PSEUDOREWARD,0.5466126203536987,5,False,False
168,PSEUDOREWARD,0.5489915609359741,5,False,False
169,PSEUDOREWARD,0.5446243286132812,5,False,False
170,PSEUDOREWARD,0.5450494885444641,5,False,False
171,PSEUDOREWARD,0.5435808897018433,5,False,False
172,PSEUDOREWARD,0.5324497818946838,5,False,False
173,PSEUDOREWARD,0.5527043342590332,5,False,False
174,PSEUDOREWARD,0.5494824647903442,5,False,False
175,PSEUDOREWARD,0.5538807511329651,5,False,False
176,PSEUDOREWARD,0.5572178959846497,5,False,False
177,PSEUDOREWARD,0.558059573173523,5,False,False
178,PSEUDOREWARD,0.5567178130149841,5,False,False
179,PSEUDOREWARD,0.5552945137023926,5,False,False
180,PSEUDOREWARD,0.5620623826980591,5,False,False
181,PSEUDOREWARD,0.5736547112464905,5,False,False
182,PSEUDOREWARD,0.5591983795166016,5,False,False
183,PSEUDOREWARD,0.5538790225982666,5,False,False
184,PSEUDOREWARD,0.5458422303199768,5,False,False
185,PSEUDOREWARD,0.5535595417022705,5,False,False
186,PSEUDOREWARD,0.542417049407959,5,False,False
187,PSEUDOREWARD,0.5267766714096069,5,False,False
188,PSEUDOREWARD,0.5426356792449951,5,False,False
189,PSEUDOREWARD,0.5478095412254333,5,False,False
190,PSEUDOREWARD,0.5524246692657471,5,False,False
191,PSEUDOREWARD,0.5536897778511047,5,False,False
192,PSEUDOREWARD,0.5516173839569092,5,False,False
193,PSEUDOREWARD,0.5515124201774597,5,False,False
194,PSEUDOREWARD,0.570786714553833,5,False,False
195,PSEUDOREWARD,0.5870904326438904,5,False,False
196,PSEUDOREWARD,0.5579448938369751,5,False,False
197,PSEUDOREWARD,0.569818913936615,5,False,False
198,PSEUDOREWARD,0.5741488933563232,5,False,False
199,PSEUDOREWARD,0.5744951963424683,5,False,False
200,PSEUDOREWARD,0.5797988176345825,5,False,False
3,MPC_REWARD,-0.26792412996292114,5,False,False
6,MPC_REWARD,-0.25728264451026917,5,False,False
9,MPC_REWARD,-0.2597908079624176,5,False,False
12,MPC_REWARD,-0.2363867610692978,5,False,False
15,MPC_REWARD,-0.2401868849992752,5,False,False
18,MPC_REWARD,-0.2607147991657257,5,False,False
21,MPC_REWARD,-0.2571573555469513,5,False,False
24,MPC_REWARD,-0.2528187334537506,5,False,False
27,MPC_REWARD,-0.20383630692958832,5,False,False
30,MPC_REWARD,-0.22100628912448883,5,False,False
33,MPC_REWARD,-0.2106800675392151,5,False,False
36,MPC_REWARD,-0.13085365295410156,5,False,False
39,MPC_REWARD,-0.18788613379001617,5,False,False
42,MPC_REWARD,-0.15645398199558258,5,False,False
45,MPC_REWARD,-0.11437614262104034,5,False,False
48,MPC_REWARD,-0.08922944962978363,5,False,False
51,MPC_REWARD,-0.08111096173524857,5,False,False
54,MPC_REWARD,-0.101949542760849,5,False,False
57,MPC_REWARD,-0.10571502894163132,5,False,False
60,MPC_REWARD,-0.09999211132526398,5,False,False
63,MPC_REWARD,-0.11987001448869705,5,False,False
